"Department","Program","FTE 2011-12","FTE 2012-13","FTE 2013-14","FTE 2014-15","FTE 2015-16"
"Administrative Tribunals Support Service of Canada","Payments to Tribunal Chairs and Members",".",".",".",67.00,129.00
"Administrative Tribunals Support Service of Canada","Registry Services",".",".",".",33.00,164.00
"Administrative Tribunals Support Service of Canada","Tribunal Specialized and Expert Support Services",".",".",".",93.00,191.00
"Administrative Tribunals Support Service of Canada","Internal Services",".",".",".",45.00,119.00
"Agriculture and Agri-Food","Business Risk Management",409.00,375.0,370.00,349.00,361.00
"Agriculture and Agri-Food","Canadian Pari-Mutuel Agency",47.00,43.0,36.00,34.00,33.00
"Agriculture and Agri-Food","Environmental Knowledge, Technology, Information and Measurement",662.00,609.0,411.00,".","."
"Agriculture and Agri-Food","Farm Products Council of Canada",24.00,22.0,23.00,25.00,25.00
"Agriculture and Agri-Food","Food Safety and Biosecurity Risk Management Systems",310.00,283.0,289.00,".","."
"Agriculture and Agri-Food","Industry Capacity",42.00,32.0,29.00,227.00,203.00
"Agriculture and Agri-Food","Market Access, Negotiations, Sector Competitiveness, and Assurance Systems",".",".",".",372.00,396.00
"Agriculture and Agri-Food","On-Farm Action",406.00,337.0,226.00,".","."
"Agriculture and Agri-Food","Regulatory Efficiency Facilitation",62.00,60.0,54.00,".","."
"Agriculture and Agri-Food","Rural and Co-operatives Development",90.00,49.0,8.00,".","."
"Agriculture and Agri-Food","Science, Innovation, Adoption and Sustainability",1545.00,1538.0,1776.00,2441.00,2439.00
"Agriculture and Agri-Food","Trade and Market Development",417.00,404.0,355.00,".","."
"Agriculture and Agri-Food","Internal Services",2095.00,1910.0,1499.00,1149.00,1056.00
"Atlantic Canada Opportunities Agency","Community Development",105.00,89.0,85.00,95.00,102.00
"Atlantic Canada Opportunities Agency","Enterprise Development",203.00,181.0,215.00,218.00,208.00
"Atlantic Canada Opportunities Agency","Policy, Advocacy and Coordination",91.00,69.0,62.00,60.00,64.00
"Atlantic Canada Opportunities Agency","Internal Services",284.00,249.0,193.00,197.00,199.00
"Canada Border Services Agency","Admissibility Determination",6228.00,6360.0,7005.00,7297.00,7449.00
"Canada Border Services Agency","Criminal Investigations",278.00,273.0,298.00,283.00,259.00
"Canada Border Services Agency","Immigration Enforcement",962.00,934.0,990.00,981.00,1088.00
"Canada Border Services Agency","Recourse",130.00,112.0,122.00,108.00,110.00
"Canada Border Services Agency","Revenue and Trade Management",884.00,875.0,950.00,715.00,766.00
"Canada Border Services Agency","Risk Assessment Program",1111.00,1201.0,1315.00,1149.00,1183.00
"Canada Border Services Agency","Secure and Trusted Partnerships",381.00,397.0,491.00,397.00,411.00
"Canada Border Services Agency","Internal Services",4859.00,4490.0,2724.00,2838.00,2508.00
"Canada Industrial Relations Board","Adjudicative and Dispute Resolution Program",67.17,65.4,64.60,38.00,"."
"Canada Industrial Relations Board","Internal Services",26.55,26.2,27.50,14.00,"."
"Canada Revenue Agency","Appeals",1434.00,1694.0,1732.00,1868.00,1671.00
"Canada Revenue Agency","Assessment of Returns and Payment Processing",6526.00,6535.0,6488.00,6209.00,5967.00
"Canada Revenue Agency","Benefit Programs",1357.00,1349.0,1300.00,1253.00,1287.00
"Canada Revenue Agency","Collections and Returns Compliance",7584.00,7619.0,7589.00,7705.00,7653.00
"Canada Revenue Agency","Reporting Compliance",9949.00,10200.0,9761.00,9790.00,9766.00
"Canada Revenue Agency","Taxpayer and Business Assistance",4067.00,4057.0,3976.00,3948.00,3924.00
"Canada Revenue Agency","Taxpayers' Ombudsman",".",26.0,23.00,23.00,21.00
"Canada Revenue Agency","Internal Services",8563.00,8041.0,7860.00,7765.00,7688.00
"Canada School of Public Service","Foundational Learning",524.00,288.0,297.00,321.00,"."
"Canada School of Public Service","Learning Services",".",".",".",".",474.00
"Canada School of Public Service","Organizational Leadership Development",92.00,60.0,55.00,46.00,"."
"Canada School of Public Service","Public Sector Management Innovation",60.00,62.0,48.00,62.00,"."
"Canada School of Public Service","Internal Services",216.00,281.0,222.00,222.00,210.00
"Canadian Artists and Producers Professional Relations Tribunal","Certification, Complaints and Determination Program",5.00,".",".",".","."
"Canadian Artists and Producers Professional Relations Tribunal","Internal Services",2.00,".",".",".","."
"Canadian Centre for Occupational Health and Safety","Occupational health and safety information development, delivery services and tripartite collaboration",67.00,63.0,61.00,61.00,65.00
"Canadian Centre for Occupational Health and Safety","Internal Services",21.00,18.0,19.00,20.00,20.00
"Canadian Environmental Assessment Agency","Environmental Assessment Delivery Program",127.00,124.0,133.00,129.00,125.00
"Canadian Environmental Assessment Agency","Environmental Assessment Policy Program",35.00,38.0,40.00,40.00,41.00
"Canadian Environmental Assessment Agency","Internal Services",64.00,59.0,60.00,64.00,70.00
"Canadian Food Inspection Agency","Animal Health and Zoonotics Program",1109.00,1118.0,1074.00,1012.00,959.00
"Canadian Food Inspection Agency","Food Safety Program",3238.00,3216.0,3296.00,3250.00,3155.00
"Canadian Food Inspection Agency","International Collaboration and Technical Agreements",361.00,338.0,343.00,335.00,307.00
"Canadian Food Inspection Agency","Plant Resources Program",851.00,849.0,809.00,737.00,703.00
"Canadian Food Inspection Agency","Internal Services",974.00,925.0,856.00,804.00,777.00
"Canadian Grain Commission","Grain Quality Research Program",86.00,71.0,44.00,59.00,45.00
"Canadian Grain Commission","Producer Protection Program",33.00,31.0,28.00,23.00,30.00
"Canadian Grain Commission","Producer Protection Program - Revolving Fund",0.00,".",".",".","."
"Canadian Grain Commission","Quality Assurance Program",346.00,342.0,250.00,199.00,215.00
"Canadian Grain Commission","Quality Assurance Program - Revolving Fund",0.00,".",".",".","."
"Canadian Grain Commission","Quantity Assurance Program",111.00,114.0,44.00,14.00,14.00
"Canadian Grain Commission","Quantity Assurance Program - Revolving Fund",0.00,".",".",".","."
"Canadian Grain Commission","Internal Services",116.00,97.0,89.00,100.00,91.00
"Canadian Heritage","Arts",88.60,117.6,115.30,124.10,128.27
"Canadian Heritage","Attachment to Canada",129.70,123.5,141.00,183.60,207.60
"Canadian Heritage","Cultural Industries",241.50,268.9,248.80,237.80,233.40
"Canadian Heritage","Engagement and Community Participation",106.20,116.9,103.90,104.60,126.50
"Canadian Heritage","Heritage",184.10,202.9,176.70,144.20,127.75
"Canadian Heritage","Multiculturalism for Newcomers and all Canadians",".",".",".",".",10.00
"Canadian Heritage","Official Languages",131.50,171.3,149.70,144.60,151.60
"Canadian Heritage","Sport",119.50,133.1,128.30,121.40,109.90
"Canadian Heritage","Internal Services",950.10,652.8,648.90,652.50,649.00
"Canadian High Arctic Research Station","Polar Knowledge Application",".",".",".",".",6.00
"Canadian High Arctic Research Station","Research Facilitation and Communication",4.50,4.0,9.50,10.00,11.00
"Canadian High Arctic Research Station","Science and Technology for the North",".",".",".",".",14.00
"Canadian High Arctic Research Station","Internal Services",0.50,2.0,1.50,3.00,16.00
"Canadian Human Rights Commission","Discrimination Prevention Program",34.00,34.0,31.00,30.00,"."
"Canadian Human Rights Commission","Human Rights Dispute Resolution Program",68.00,75.0,74.00,74.00,"."
"Canadian Human Rights Commission","Human Rights Knowledge Development and Dissemination Program",30.00,28.0,28.00,21.00,"."
"Canadian Human Rights Commission","Human Rights Program",".",".",".",".",117.00
"Canadian Human Rights Commission","Internal Services",63.00,65.0,65.00,64.00,70.00
"Canadian Human Rights Tribunal","Hearings of complaints before the Tribunal",9.00,9.0,12.00,7.58,"."
"Canadian Human Rights Tribunal","Internal Services",13.00,9.0,8.00,6.71,"."
"Canadian Institutes of Health Research","Health Research Commercialization",7.00,7.0,6.00,".","."
"Canadian Institutes of Health Research","Health and Health Services Advances",111.00,86.0,85.00,".","."
"Canadian Institutes of Health Research","Investigator-Initiated Health Research",85.00,109.0,114.00,254.00,208.00
"Canadian Institutes of Health Research","Priority-Driven Health Research",34.00,15.0,14.00,142.00,113.00
"Canadian Institutes of Health Research","Internal Services",195.00,187.0,180.00,23.00,82.00
"Canadian Intergovernmental Conference Secretariat","Conference Services",".",19.0,19.00,18.00,22.00
"Canadian Intergovernmental Conference Secretariat","Internal Services",".",10.0,11.00,9.00,9.00
"Canadian International Development Agency","Canadian Engagement",".",129.0,".",".","."
"Canadian International Development Agency","Fragile Countries and crisis-affected communities",".",116.0,".",".","."
"Canadian International Development Agency","Global engagement and strategic policy",".",181.0,".",".","."
"Canadian International Development Agency","Low-income countries",".",318.0,".",".","."
"Canadian International Development Agency","Middle-income countries",".",159.0,".",".","."
"Canadian International Development Agency","Internal Services",".",739.0,".",".","."
"Canadian International Trade Tribunal","Adjudication of Trade Cases (quasi-judicial role)",49.00,55.0,59.00,31.00,"."
"Canadian International Trade Tribunal","General Economic Inquiries and References (advisory role)",1.00,1.0,1.00,0.50,"."
"Canadian International Trade Tribunal","Internal Services",28.00,19.0,20.00,10.00,"."
"Canadian Northern Economic Development Agency","Business Development",15.00,14.0,16.00,".","."
"Canadian Northern Economic Development Agency","Community Development",15.60,14.0,15.00,".","."
"Canadian Northern Economic Development Agency","Economic Development",".",".",".",30.00,26.00
"Canadian Northern Economic Development Agency","Policy and Alignment",".",".",".",25.00,26.00
