Date,Departments and Agencies,Tenure,Employees
201003,Agriculture and Agri-Food Canada,Casual,309
201003,Agriculture and Agri-Food Canada,Indeterminate,5895
201003,Agriculture and Agri-Food Canada,Student,502
201003,Agriculture and Agri-Food Canada,Term,232
201003,Assisted Human Reproduction Canada,Casual,2
201003,Assisted Human Reproduction Canada,Indeterminate,9
201003,Assisted Human Reproduction Canada,Student,1
201003,Assisted Human Reproduction Canada,Term,2
201003,Atlantic Canada Opportunities Agency,Casual,28
201003,Atlantic Canada Opportunities Agency,Indeterminate,677
201003,Atlantic Canada Opportunities Agency,Student,32
201003,Atlantic Canada Opportunities Agency,Term,29
201003,Canada Border Services Agency,Casual,116
201003,Canada Border Services Agency,Indeterminate,13615
201003,Canada Border Services Agency,Student,418
201003,Canada Border Services Agency,Term,249
201003,Canada Industrial Relations Board,Casual,1
201003,Canada Industrial Relations Board,Indeterminate,92
201003,Canada Industrial Relations Board,Term,13
201003,Canada Revenue Agency,Casual,1
201003,Canada Revenue Agency,Indeterminate,34153
201003,Canada Revenue Agency,Student,765
201003,Canada Revenue Agency,Term,8297
201003,Canada School of Public Service,Casual,101
201003,Canada School of Public Service,Indeterminate,757
201003,Canada School of Public Service,Student,30
201003,Canada School of Public Service,Term,129
201003,Canadian Artists and Producers Professional Relations Tribunal,Indeterminate,7
201003,Canadian Artists and Producers Professional Relations Tribunal,Term,5
201003,Canadian Dairy Commission,Indeterminate,55
201003,Canadian Dairy Commission,Student,2
201003,Canadian Dairy Commission,Term,7
201003,Canadian Environmental Assessment Agency,Indeterminate,118
201003,Canadian Environmental Assessment Agency,Term,15
201003,Canadian Food Inspection Agency,Indeterminate,5686
201003,Canadian Food Inspection Agency,Student,69
201003,Canadian Food Inspection Agency,Term,794
201003,Canadian Grain Commission,Casual,7
201003,Canadian Grain Commission,Indeterminate,603
201003,Canadian Grain Commission,Student,2
201003,Canadian Grain Commission,Term,80
201003,Canadian Heritage,Casual,127
201003,Canadian Heritage,Indeterminate,2059
201003,Canadian Heritage,Student,77
201003,Canadian Heritage,Term,95
201003,Canadian Human Rights Commission,Casual,10
201003,Canadian Human Rights Commission,Indeterminate,171
201003,Canadian Human Rights Commission,Student,8
201003,Canadian Human Rights Commission,Term,10
201003,Canadian Institutes of Health Research,Indeterminate,364
201003,Canadian Institutes of Health Research,Term,55
201003,Canadian Intergovernmental Conference Secretariat,Indeterminate,24
201003,Canadian Intergovernmental Conference Secretariat,Term,1
201003,Canadian International Trade Tribunal,Indeterminate,72
201003,Canadian International Trade Tribunal,Student,3
201003,Canadian International Trade Tribunal,Term,7
201003,Canadian Nuclear Safety Commission,Indeterminate,807
201003,Canadian Nuclear Safety Commission,Term,45
201003,Canadian Polar Commission,Student,4
201003,Canadian Radio-television and Telecommunications Commission,Casual,9
201003,Canadian Radio-television and Telecommunications Commission,Indeterminate,379
201003,Canadian Radio-television and Telecommunications Commission,Student,5
201003,Canadian Radio-television and Telecommunications Commission,Term,43
201003,Canadian Space Agency,Indeterminate,618
201003,Canadian Space Agency,Student,62
201003,Canadian Space Agency,Term,34
201003,Canadian Transportation Agency,Casual,8
201003,Canadian Transportation Agency,Indeterminate,224
201003,Canadian Transportation Agency,Student,12
201003,Canadian Transportation Agency,Term,11
201003,Civilian Review and Complaints Commission for the RCMP,Casual,5
201003,Civilian Review and Complaints Commission for the RCMP,Indeterminate,33
201003,Civilian Review and Complaints Commission for the RCMP,Student,7
201003,Civilian Review and Complaints Commission for the RCMP,Term,11
201003,Communications Security Establishment,Indeterminate,1679
201003,Communications Security Establishment,Term,73
201003,Competition Bureau Canada,Indeterminate,11
201003,Competition Bureau Canada,Student,1
201003,Copyright Board Canada,Indeterminate,13
201003,Copyright Board Canada,Term,2
201003,Correctional Service Canada,Casual,394
201003,Correctional Service Canada,Indeterminate,16629
201003,Correctional Service Canada,Student,64
201003,Correctional Service Canada,Term,624
201003,Courts Administration Service,Casual,20
201003,Courts Administration Service,Indeterminate,515
201003,Courts Administration Service,Student,31
201003,Courts Administration Service,Term,70
201003,Department of Finance Canada,Casual,22
201003,Department of Finance Canada,Indeterminate,760
201003,Department of Finance Canada,Student,8
201003,Department of Finance Canada,Term,13
201003,Department of Justice Canada,Casual,146
201003,Department of Justice Canada,Indeterminate,4483
201003,Department of Justice Canada,Student,59
201003,Department of Justice Canada,Term,304
201003,Economic Development Agency of Canada for the Regions of Quebec,Casual,36
201003,Economic Development Agency of Canada for the Regions of Quebec,Indeterminate,353
201003,Economic Development Agency of Canada for the Regions of Quebec,Student,20
201003,Economic Development Agency of Canada for the Regions of Quebec,Term,44
201003,Elections Canada,Casual,59
201003,Elections Canada,Indeterminate,329
201003,Elections Canada,Student,30
201003,Elections Canada,Term,129
201003,Employment and Social Development Canada,Casual,852
201003,Employment and Social Development Canada,Indeterminate,21348
201003,Employment and Social Development Canada,Student,595
201003,Employment and Social Development Canada,Term,3217
201003,Environment and Climate Change Canada,Casual,439
201003,Environment and Climate Change Canada,Indeterminate,6321
201003,Environment and Climate Change Canada,Student,382
201003,Environment and Climate Change Canada,Term,436
201003,Farm Products Council of Canada,Indeterminate,15
201003,Federal Judges not part of any department,Indeterminate,1085
201003,Financial Consumer Agency of Canada,Casual,2
201003,Financial Consumer Agency of Canada,Indeterminate,45
201003,Financial Consumer Agency of Canada,Student,1
201003,Financial Consumer Agency of Canada,Term,7
201003,Financial Transactions and Reports Analysis Centre of Canada,Indeterminate,252
201003,Financial Transactions and Reports Analysis Centre of Canada,Student,26
201003,Financial Transactions and Reports Analysis Centre of Canada,Term,41
201003,Fisheries and Oceans Canada,Casual,558
201003,Fisheries and Oceans Canada,Indeterminate,9583
201003,Fisheries and Oceans Canada,Student,164
201003,Fisheries and Oceans Canada,Term,854
201003,Global Affairs Canada,Casual,248
201003,Global Affairs Canada,Indeterminate,6311
201003,Global Affairs Canada,Student,153
201003,Global Affairs Canada,Term,256
201003,Hazardous Materials Information Review Commission Canada,Indeterminate,32
201003,Hazardous Materials Information Review Commission Canada,Student,2
201003,Hazardous Materials Information Review Commission Canada,Term,4
201003,Health Canada,Casual,471
201003,Health Canada,Indeterminate,9311
201003,Health Canada,Student,169
201003,Health Canada,Term,615
201003,Human Rights Tribunal of Canada,Indeterminate,19
201003,Immigration and Refugee Board of Canada,Casual,49
201003,Immigration and Refugee Board of Canada,Indeterminate,876
201003,Immigration and Refugee Board of Canada,Student,14
201003,Immigration and Refugee Board of Canada,Term,59
201003,"Immigration, Refugees and Citizenship Canada",Casual,286
201003,"Immigration, Refugees and Citizenship Canada",Indeterminate,3936
201003,"Immigration, Refugees and Citizenship Canada",Student,106
201003,"Immigration, Refugees and Citizenship Canada",Term,424
